"","hospital","product","sales_rep","promotional_budget","ps_promotional_budget_factor","promotional_support_index","cr_promotional_support_delta","customer_relationship_index","oa_customer_relationship_factor","cp_offer_attractiveness","offer_attractiveness"
"1","人民医院","口服抗生素","小宋",414000,1.4,48.5767489572713,12,35,0.95,17.209750399434,19.0403483013883
"2","人民医院","一代降糖药","小宋",72000,0.84,21.0777657168602,1.5,44,1.012,6.40828220904371,7.3651516172667
"3","人民医院","三代降糖药","小宋",114000,1.12666666666667,59.2190658395778,6.87499999999999,52,0.976,8.40293718775793,9.98700758574487
"4","人民医院","皮肤药","小宋",0,0.6,0,-3,0,0.75,0,0
"5","军区医院","口服抗生素","小兰",0,0.6,20.2970432,-3,37,0.958,12.9607337863352,15.6652748037355
"6","军区医院","一代降糖药","小兰",0,0.6,27.6258160267711,-3,51,1.033,14.8220226179046,17.113509381179
"7","军区医院","三代降糖药","小兰",0,0.6,16.1245878668379,-3,51,0.973,9.1741425419485,12.9580927979962
"8","军区医院","皮肤药","小兰",0,0.6,0,-3,0,0.75,0,0
"9","中日医院","口服抗生素","小白",0,0.6,17.73336,-3,38,0.962,20.6187772293026,22.6901955769671
"10","中日医院","一代降糖药","小白",0,0.6,13.9128,-3,17,0.892,6.52527068414501,7.77372653332964
"11","中日医院","三代降糖药","小白",0,0.6,9.8696,-3,35,0.91,3.94688320816293,5.6525522121309
"12","中日医院","皮肤药","小白",0,0.6,0,-3,0,0.75,0,0
"13","铁路医院","口服抗生素","小木",0,0.6,23.6106808601233,-3,23,0.895,18.8508113649658,22.1512440597018
"14","铁路医院","一代降糖药","小木",0,0.6,13.6182434267937,-3,50,1.03,8.96932491015423,10.7280928111999
"15","铁路医院","三代降糖药","小木",0,0.6,8.3556,-3,48,0.962,4.41539350326962,6.30683320372246
"16","铁路医院","皮肤药","小木",0,0.6,0,-3,0,0.75,0,0
"17","海港医院","口服抗生素","小白",0,0.6,12.7807013814893,-3,26,0.91,14.2686389595262,16.3974018059095
"18","海港医院","一代降糖药","小白",0,0.6,13.8645856386992,-3,39,0.996,11.2356334534867,13.278852316735
"19","海港医院","三代降糖药","小白",0,0.6,18.558475510717,-3,45,0.95,5.19949833394194,7.552145036979
"20","海港医院","皮肤药","小白",0,0.6,0,-3,0,0.75,0,0
"21","第六医院","口服抗生素","小兰",0,0.6,31.5689756449761,-3,37,0.958,19.0160093578641,21.8100412026958
"22","第六医院","一代降糖药","小兰",0,0.6,25.4252603747254,-3,47,1.021,15.8772462375189,18.568751651179
"23","第六医院","三代降糖药","小兰",0,0.6,18.2195984963936,-3,47,0.958,5.85376350743556,8.37000499033513
"24","第六医院","皮肤药","小兰",0,0.6,0,-3,0,0.75,0,0
"25","小营医院","口服抗生素","小木",0,0.6,15.320696142941,-3,47,0.991,19.6281523206157,22.6021436238783
"26","小营医院","一代降糖药","小木",0,0.6,11.8014937563905,-3,40,1,6.96717871569417,8.44266664763004
"27","小营医院","三代降糖药","小木",0,0.6,15.4912262221503,-3,41,0.934,4.09338415561087,6.02130389753574
"28","小营医院","皮肤药","小木",0,0.6,0,-3,0,0.75,0,0
"29","光华医院","口服抗生素","小青",0,0.6,0,-3,32,0.938,14.6452959700406,18.4530480215689
"30","光华医院","一代降糖药","小青",0,0.6,16.5576956286267,-3,50,1.03,12.5983010925985,14.6209223529137
"31","光华医院","三代降糖药","小青",0,0.6,17.8606214518291,-3,46,0.954,7.95090771849923,11.3376221528414
"32","光华医院","皮肤药","小青",0,0.6,0,-3,0,0.75,0,0
"33","西河医院","口服抗生素","小宋",0,0.6,13.1666380135313,-3,50,1,21.6190465203397,26.0720488632954
"34","西河医院","一代降糖药","小宋",0,0.6,16.8397856019222,-3,50,1.03,11.2749829168997,12.9473013198257
"35","西河医院","三代降糖药","小宋",0,0.6,19.4125756302397,-3,36,0.914,7.06453684678513,10.4831967740363
"36","西河医院","皮肤药","小宋",0,0.6,0,-3,0,0.75,0,0
"37","大学医院","口服抗生素","小青",0,0.6,29.507303217146,-3,34,0.946,17.9156052205128,20.2263378078311
"38","大学医院","一代降糖药","小青",0,0.6,13.0389002988986,-3,40,1,7.74800492452833,9.36559035138947
"39","大学医院","三代降糖药","小青",0,0.6,21.1059042975474,-3,50,0.97,7.85593904581603,10.9633446575659
"40","大学医院","皮肤药","小青",0,0.6,0,-3,0,0.75,0,0
