"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","last_revenue_by_sr","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_delta","srsp_sales_skills_delta","srsp_product_knowledge_delta","srsp_time_with_account_delta","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_delta","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","target_revenue_percent","bonus_factor","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus_tmp","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期1","人民医院","小木","口服抗生素",1416516,10000000,146400,0.61,1,1,1120471,12590,50.42,61,43.7925,60.2191102776091,49.67532021,52.0078458268,111,0,7,5,7,8,8,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,89,1416516,15916,87,53.07,1,87,1817534,87,0.61,15,0.98,2,51.85,34,7,4.75,42.55,3.4875,2.1,5.6,3.25,0.583333333333333,33,50,4.4,0.6,4,7,54.96,4.86666666666667,12.25,0.933333333333333,65,1.4,84.3067543886527,6,4.85,54.9088300525,3,8,43.7925,50.0425,0.6502125,0.548358940945,58.9100364567,58.9100364567,170,15.34602187402,1534602,17243,1976469,1.08744540679844,1,2341354,118.46,23598,27223,115.36,83207,83207,5139867,51,3.25,4.6155,66
"2","周期1","人民医院","小木","一代降糖药",368009,1600000,45600,0.19,1,2,343103,5279,60.22365005625,55,49.9765,54.464,55.1980851415625,59.137921301925,114,0,7,5,7,8,8,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,65,368009,5662,87,16.53,1,87,1817534,87,0.19,15,0.98,2,16.15,34,7,4.75,42.55,3.4875,2.1,5.6,3.25,0.583333333333333,33,50,4.4,0.6,4,4.55625,63.54177505625,4.86666666666667,12.25,0.933333333333333,59,1.256,68.406784,6,4.42,62.6398525775781,3,7.56,49.9765,55.9405,0.6797025,0.641678230930938,65.6887938558563,65.6887938558563,180,19.1377587711713,306204,4711,1976469,1.08744540679844,1,2341354,118.46,23598,27223,115.36,83207,83207,5139867,51,3.25,4.6155,66
"3","周期1","人民医院","小木","三代降糖药",191944,2470000,48000,0.2,1,3,353960,3726,64.77375,73,57.221125,63.1,59.6119567875,63.764833887,120,0,7,5,7,8,8,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,95,191944,2020,87,17.4,1,87,1817534,87,0.2,15,0.98,2,17,34,7,4.75,42.55,3.4875,2.1,5.6,3.25,0.583333333333333,33,50,4.4,0.6,4,7.625,69.62625,4.86666666666667,12.25,0.933333333333333,76,1.28,80.768,6,5.56,68.534676696875,3,7.65,53.6105625,59.6330625,0.6981653125,0.715950797059375,70.8836603235625,70.8836603235625,191,20.2650980970688,500548,5269,1976469,1.08744540679844,1,2341354,118.46,23598,27223,115.36,83207,83207,5139867,51,3.25,4.6155,66
"4","周期1","人民医院","0","皮肤药",0,210000,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,87,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"5","周期1","军区医院","小宋","口服抗生素",500282,3150000,37800,0.27,2,1,462777,5200,55.555,48,45.61425,59.9929484,56.27825,59.04319,119,0,7,2,8,8,8,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,89,500282,5621,90,24.3,2,90,1713005,45,0.54,14,1.18,2,23.76,80,4,1.125,71.35,3.275,2.1,9.2,3.25,0.583333333333333,81,86,-2.4,7.35,7.3,-0.119999999999999,57.705,4.86666666666667,12.25,0.933333333333333,52,1.157,69.4118412988,3,3.86,58.2703125,6.6,7.28125,45.61425,52.6570625,0.6632853125,0.58924375,61.8860375,61.8860375,181,17.1316225,539646,6063,1992943,1.16341925446803,1,2197285,110.25,23900,26277,109.95,72675,72675,12192274,86,0.125,5.23125,45
"6","周期1","军区医院","小宋","一代降糖药",187944,1100000,16800,0.12,2,2,163688,2518,50.0861195,75,50.5924285714286,73.1869406226564,53.1977844125,57.1720928797857,124,0,7,2,8,8,8,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,65,187944,2891,90,10.8,2,90,1713005,45,0.24,14,1.18,2,10.56,80,4,1.125,71.35,3.275,2.1,9.2,3.25,0.583333333333333,81,86,-2.4,7.35,7.3,1.6,53.0961195,4.86666666666667,12.25,0.933333333333333,78,0.906285714285714,66.3282787585903,3,5.68,54.407535728125,6.6,3.65714285714286,50.2962142857143,54.9833571428571,0.674916785714286,0.53933564310625,59.3568100149464,59.3568100149464,183,17.2427240059786,189670,2918,1992943,1.16341925446803,1,2197285,110.25,23900,26277,109.95,72675,72675,12192274,86,0.125,5.23125,45
"7","周期1","军区医院","小宋","三代降糖药",97436,306000,15400,0.11,2,3,36682,386,33.805,72,50.0175,37.2317335188467,35.64275,47.45492,117,0,7,2,8,8,8,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,95,97436,1026,90,9.9,2,90,1713005,45,0.22,14,1.18,2,9.68,80,4,1.125,71.35,3.275,2.1,9.2,3.25,0.583333333333333,81,86,-2.4,7.35,7.3,1.68,36.855,4.86666666666667,12.25,0.933333333333333,75,0.8888,33.091564751551,3,5.5,37.8019375,6.6,3.22,50.00875,54.41175,0.67205875,0.360402583333333,48.506505,48.506505,166,12.7532525,39025,411,1992943,1.16341925446803,1,2197285,110.25,23900,26277,109.95,72675,72675,12192274,86,0.125,5.23125,45
"8","周期1","军区医院","0","皮肤药",0,105000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,45,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"9","周期1","中日医院","小白","口服抗生素",1061528,9600000,85800,0.33,3,1,975789,10964,57.375,59,48.67805,56.93116,57.36525,60.43859,125,0,7,5,7,8,8,10,100,"junior",1713005,20541,2713005,33,24,87,8,87.04,89,1061528,11927,87,28.71,2,87,1821842,43.5,0.66,15,0.645,1,28.38,34,3.5,4.75,24.02,3.4875,2.1,5.6,3.25,0.583333333333333,37,29,8.7,1.4,-0.5,1.9615,60.05575,4.86666666666667,12.25,0.933333333333333,63,1.3716,78.086779056,2.5,4.71,60.450125,0.9,7.929,48.67805,54.1469,0.6707345,0.6154015,63.75347,63.75347,189,18.252082,1752200,19688,2181064,1.19717516667197,1,2815837,129.1,25849,32949,127.47,101370,101370,5528842,54,3.25,3.8175,90
"10","周期1","中日医院","小白","一代降糖药",221960,1080000,20800,0.08,3,2,212321,3266,64.14469148125,50,45.9885714285714,42.6514285714286,58.3985186109375,60.6446476855893,114,0,7,5,7,8,8,10,100,"junior",1713005,20541,2713005,33,24,87,8,87.04,65,221960,3415,87,6.96,2,87,1821842,43.5,0.16,15,0.645,1,6.88,34,3.5,4.75,24.02,3.4875,2.1,5.6,3.25,0.583333333333333,37,29,8.7,1.4,-0.5,-2.24,64.72469148125,4.86666666666667,12.25,0.933333333333333,54,0.952,40.60416,2.5,4.02,64.0721482636719,0.9,4.72,45.9885714285714,49.3715714285714,0.646857857142857,0.658865779164063,65.406261035558,65.406261035558,179,19.0812522071116,206078,3170,2181064,1.19717516667197,1,2815837,129.1,25849,32949,127.47,101370,101370,5528842,54,3.25,3.8175,90
