"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","last_revenue_by_sr","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_delta","srsp_sales_skills_delta","srsp_product_knowledge_delta","srsp_time_with_account_delta","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_delta","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","target_revenue_percent","bonus_factor","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus_tmp","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期2","人民医院","小木","口服抗生素",1603070,8000000,132000,0.6,1,1,1534602,17243,54.96,65,50.0425,84.3067543886527,54.9088300525,58.9100364567,170,70,7,3,9,5,8,2,100,"junior",2341354,27223,5139867,33,50,66,15,118.46,89,1603070,18012,92,55.2,1,92,2341354,92,0.6,24,0.94,2,54,51,9,2.25,46.7,5.2,2.1,7.28,3.25,-3.33333333333333,38,52,5.2,1.6,4.3,7,59.935,-2.66666666666667,8,0.933333333333333,65,1.4,118.029456144114,7.5,4.85,60.023457513125,3.36,8,50.02125,56.39725,0.68198625,0.6102814901575,63.89633940945,63.89633940945,234,18.33780364567,1467024,16483,2312007,0.987465799703932,0.5,2198722,95.1,27118,25581,94.33,62730,31365,7338589,66,5,5.02,70
"2","周期2","人民医院","小木","一代降糖药",312810,960000,39600,0.18,1,2,306204,4711,63.54177505625,59,55.9405,68.406784,62.6398525775781,65.6887938558563,180,70,7,3,9,5,8,2,100,"junior",2341354,27223,5139867,33,50,66,15,118.46,65,312810,4812,92,16.56,1,92,2341354,92,0.18,24,0.94,2,16.2,51,9,2.25,46.7,5.2,2.1,7.28,3.25,-3.33333333333333,38,52,5.2,1.6,4.3,4.575,67.30427505625,-2.66666666666667,8,0.933333333333333,59,1.184,80.993632256,7.5,4.42,67.397169436582,3.36,7.36,52.97025,58.93025,0.69465125,0.701163202675567,69.855842160534,69.855842160534,250,19.9711684321068,191723,2950,2312007,0.987465799703932,0.5,2198722,95.1,27118,25581,94.33,62730,31365,7338589,66,5,5.02,70
"3","周期2","人民医院","小木","三代降糖药",379973,2223000,33000,0.15,1,3,500548,5269,69.62625,76,59.6330625,80.768,68.534676696875,70.8836603235625,191,70,7,3,9,5,8,2,100,"junior",2341354,27223,5139867,33,50,66,15,118.46,95,379973,4000,92,13.8,1,92,2341354,92,0.15,24,0.94,2,13.5,51,9,2.25,46.7,5.2,2.1,7.28,3.25,-3.33333333333333,38,52,5.2,1.6,4.3,5.125,73.66375,-2.66666666666667,8,0.933333333333333,76,1.09333333333333,88.3063466666667,7.5,5.56,73.8684816742187,3.36,6.88333333333333,54.81653125,60.4666979166667,0.704666979166667,0.785290261764844,75.3040948725573,75.3040948725573,266,21.5608189745115,479297,5045,2312007,0.987465799703932,0.5,2198722,95.1,27118,25581,94.33,62730,31365,7338589,66,5,5.02,70
"4","周期2","人民医院","小木","皮肤药",16154,315000,15400,0.07,1,4,0,0,0,0,0,0,0,0,0,70,7,3,9,5,8,2,100,"junior",2341354,27223,5139867,33,50,66,15,118.46,55,16154,294,92,6.44,1,92,2341354,92,0.07,24,0.94,2,6.3,51,9,2.25,46.7,5.2,2.1,7.28,3.25,-3.33333333333333,38,52,5.2,1.6,4.3,30.75,16.85,-2.66666666666667,8,0.933333333333333,2,0.8888,0,7.5,-18,9.4125,3.36,3.22,0,3.269,0.06538,0.194125,14.2627,14.2627,14,19.2627,60678,1103,2312007,0.987465799703932,0.5,2198722,95.1,27118,25581,94.33,62730,31365,7338589,66,5,5.02,70
"5","周期2","军区医院","小宋","口服抗生素",543686,3307500,42240,0.24,2,1,539646,6063,57.705,52,52.6570625,69.4118412988,58.2703125,61.8860375,181,70,7,2,9,5,8,2,100,"senior",2197285,26277,12192274,81,86,45,14,110.25,89,543686,6109,93,22.32,2,93,2197285,46.5,0.48,23,1.15,2,21.84,86,4.5,1.125,71.96,5.0125,2.1,9.44,3.25,-3.33333333333333,87,87,-1.5,7.65,7.35,-1.08,59.6025,-2.66666666666667,8,0.933333333333333,52,1.2236,84.9323290132117,3.5,3.86,60.216453125,6.65,7.459,51.32853125,58.50438125,0.69252190625,0.6125974375,64.4567225,64.4567225,245,18.6740335,617644,6940,2169740,0.987464074983445,0.5,2724371,125.56,26084,32633,125.11,98077,49038,14916645,93,4,4.083,48
"6","周期2","军区医院","小宋","一代降糖药",191052,1210000,21120,0.12,2,2,189670,2918,53.0961195,78,54.9833571428571,66.3282787585903,54.407535728125,59.3568100149464,183,70,7,2,9,5,8,2,100,"senior",2197285,26277,12192274,81,86,45,14,110.25,65,191052,2939,93,11.16,2,93,2197285,46.5,0.24,23,1.15,2,10.92,86,4.5,1.125,71.96,5.0125,2.1,9.44,3.25,-3.33333333333333,87,87,-1.5,7.65,7.35,1.825,56.4461195,-2.66666666666667,8,0.933333333333333,78,0.955657142857143,63.3870933690666,3.5,5.68,57.2474735570313,6.65,4.80228571428572,52.4916785714286,57.9406642857143,0.689703321428571,0.576969682684375,62.2063138182054,62.2063138182054,245,18.1618941454616,219759,3381,2169740,0.987464074983445,0.5,2724371,125.56,26084,32633,125.11,98077,49038,14916645,93,4,4.083,48
"7","周期2","军区医院","小宋","三代降糖药",50856,312120,17600,0.1,2,3,39025,411,36.855,75,54.41175,33.091564751551,37.8019375,48.506505,166,70,7,2,9,5,8,2,100,"senior",2197285,26277,12192274,81,86,45,14,110.25,95,50856,535,93,9.3,2,93,2197285,46.5,0.2,23,1.15,2,9.1,86,4.5,1.125,71.96,5.0125,2.1,9.44,3.25,-3.33333333333333,87,87,-1.5,7.65,7.35,1.1,39.8425,-2.66666666666667,8,0.933333333333333,75,0.915428571428571,30.2929638468484,3.5,5.5,40.607359375,6.65,3.88571428571429,52.205875,57.0590892857143,0.685295446428571,0.364143145833333,49.2604066071429,49.2604066071429,215,13.1302033035714,40982,431,2169740,0.987464074983445,0.5,2724371,125.56,26084,32633,125.11,98077,49038,14916645,93,4,4.083,48
"8","周期2","军区医院","小宋","皮肤药",8077,157500,7040,0.04,2,4,0,0,0,0,0,0,0,0,0,70,7,2,9,5,8,2,100,"senior",2197285,26277,12192274,81,86,45,14,110.25,55,8077,147,93,3.72,2,93,2197285,46.5,0.08,23,1.15,2,3.64,86,4.5,1.125,71.96,5.0125,2.1,9.44,3.25,-3.33333333333333,87,87,-1.5,7.65,7.35,18.2,11.5375,-2.66666666666667,8,0.933333333333333,2,0.7616,0,3.5,-18,5.228125,6.65,1.02,0,2.9905,0.05981,0.1045625,8.66615,8.66615,9,12.999225,20474,372,2169740,0.987464074983445,0.5,2724371,125.56,26084,32633,125.11,98077,49038,14916645,93,4,4.083,48
"9","周期2","中日医院","小白","口服抗生素",1906394,11520000,110880,0.38,3,1,1752200,19688,60.05575,63,54.1469,78.086779056,60.450125,63.75347,189,70,7,3,11,5,8,2,100,"junior",2815837,32949,5528842,37,29,90,15,129.1,89,1906394,21420,92,34.96,2,92,2815837,48.76,0.72,26,0.6,1,34.58,54,5.5,2.25,28.67,5.55,2.1,7.52,3.25,-3.33333333333333,42,31,9,2.3,0.2,4.79,64.50075,-2.66666666666667,8,0.933333333333333,63,1.4,109.3214906784,4.5,4.71,64.65509375,1.1,8,52.07345,57.65845,0.68829225,0.665861125,67.4833575,67.4833575,256,19.993343,2303233,25879,3109601,1.10432564100834,1,3322619,106.85,36888,39499,107.08,106507,106507,8851461,74,5,5.48625,94
"10","周期2","中日医院","小白","一代降糖药",201135,972000,16940,0.06,3,2,206078,3170,64.72469148125,54,49.3715714285714,40.60416,64.0721482636719,65.406261035558,179,70,7,3,11,5,8,2,100,"junior",2815837,32949,5528842,37,29,90,15,129.1,65,201135,3094,92,5.52,2,92,2815837,48.76,0.11,26,0.6,1,5.46,54,5.5,2.25,28.67,5.55,2.1,7.52,3.25,-3.33333333333333,42,31,9,2.3,0.2,-5.08,64.23469148125,-2.66666666666667,8,0.933333333333333,54,0.907885714285714,36.8639368045714,4.5,4.02,65.2230556768555,1.1,3.69714285714286,49.3715714285714,52.1597142857143,0.660798571428571,0.672899723799121,66.8059262850901,66.8059262850901,246,19.361185257018,188191,2895,3109601,1.10432564100834,1,3322619,106.85,36888,39499,107.08,106507,106507,8851461,74,5,5.48625,94
