"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","last_revenue_by_sr","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_delta","srsp_sales_skills_delta","srsp_product_knowledge_delta","srsp_time_with_account_delta","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_delta","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","target_revenue_percent","bonus_factor","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus_tmp","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期1","人民医院","小宋","口服抗生素",1351540,10000000,133900,0.65,1,1,1120471,12590,50.42,61,43.7925,60.2191102776091,49.67532021,52.0078458268,111,0,10,1,3,7,1,12,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,89,1351540,15186,92,59.8,1,92,1817534,92,0.65,9,1.18,2,58.5,80,3,0.5625,71.35,2.2125,2.8,9.2,-2,1.25,81,86,-2.4,7.35,7.3,7,56.13,5.8,11.125,0.2,47,1.4,84.3067543886527,2,3.49,55.3143300525,6.6,8,43.7925,51.3025,0.6565125,0.55377196063,59.4868176378,59.4868176378,170,15.69209058268,1569209,17632,2078909,1.14380748860819,1,2380255,114.5,24605,27665,112.44,81762,81762,12375244,87,0.75,4.9125,44
"2","周期1","人民医院","小宋","一代降糖药",362696,1600000,37080,0.175,1,2,343103,5279,60.22365005625,55,49.9765,54.464,55.1980851415625,59.137921301925,114,0,10,1,3,7,1,12,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,65,362696,5580,92,16.1,1,92,1817534,92,0.18,9,1.18,2,15.75,80,3,0.5625,71.35,2.2125,2.8,9.2,-2,1.25,81,86,-2.4,7.35,7.3,4.375,64.62115005625,5.8,11.125,0.2,42,1.1462,62.4266368,2,3.14,62.9933838275781,6.6,7.21375,49.9765,56.9754375,0.6848771875,0.645920605930938,66.1503238558563,66.1503238558563,180,19.2300647711713,307681,4734,2078909,1.14380748860819,1,2380255,114.5,24605,27665,112.44,81762,81762,12375244,87,0.75,4.9125,44
"3","周期1","人民医院","小宋","三代降糖药",364673,2470000,37080,0.175,1,3,353960,3726,64.77375,73,57.221125,63.1,59.6119567875,63.764833887,120,0,10,1,3,7,1,12,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,95,364673,3839,92,16.1,1,92,1817534,92,0.18,9,1.18,2,15.75,80,3,0.5625,71.35,2.2125,2.8,9.2,-2,1.25,81,86,-2.4,7.35,7.3,6.8125,70.39,5.8,11.125,0.2,55,1.1462,72.32522,2,4.1,68.615489196875,6.6,7.21375,53.6105625,60.6095,0.706095,0.717001359559375,71.2638815735625,71.2638815735625,191,20.3791644720688,503365,5299,2078909,1.14380748860819,1,2380255,114.5,24605,27665,112.44,81762,81762,12375244,87,0.75,4.9125,44
"4","周期1","人民医院","0","皮肤药",0,210000,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,92,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"5","周期1","军区医院","小青","口服抗生素",522477,3150000,67640,0.27,2,1,462777,5200,55.555,48,45.61425,59.9929484,56.27825,59.04319,119,0,15,1,3,7,1,12,100,"middle",1616040,19410,6616040,50,60,49,10,108.99,89,522477,5871,92,24.84,3,92,2106822,28.06,0.89,13,1.11,2,24.3,61,1,0.5625,54.4,3.0625,3.8,8.06,-4,1.25,56,61,-0.3,4.4,5.6,0.135,57.1775,5.8,11.125,0.2,38,1.34146,80.478140560664,0.5,2.8,57.5376875,4.87,7.85365,45.61425,52.4236225,0.6621181125,0.58045225,61.3118595,61.3118595,180,16.7871157,528794,5942,2462422,1.16878502312962,1,2582256,104.87,29644,30807,103.92,81240,81240,9198296,76,4,6.974,52
"6","周期1","军区医院","小青","一代降糖药",192937,1100000,2280,0.01,2,2,163688,2518,50.0861195,75,50.5924285714286,73.1869406226564,53.1977844125,57.1720928797857,124,0,15,1,3,7,1,12,100,"middle",1616040,19410,6616040,50,60,49,10,108.99,65,192937,2968,92,0.92,3,92,2106822,28.06,0.03,13,1.11,2,0.9,61,1,0.5625,54.4,3.0625,3.8,8.06,-4,1.25,56,61,-0.3,4.4,5.6,-17.3,42.9911195,5.8,11.125,0.2,56,0.63648,46.5820239675084,0.5,4.18,46.403785728125,4.87,-2.088,50.2962142857143,50.6435142857143,0.653217571428572,0.39526814310625,49.8447914435179,49.8447914435179,174,13.4223957217589,147646,2271,2462422,1.16878502312962,1,2582256,104.87,29644,30807,103.92,81240,81240,9198296,76,4,6.974,52
"7","周期1","军区医院","小青","三代降糖药",50570,306000,6080,0.025,2,3,36682,386,33.805,72,50.0175,37.2317335188467,35.64275,47.45492,117,0,15,1,3,7,1,12,100,"middle",1616040,19410,6616040,50,60,49,10,108.99,95,50570,532,92,2.3,3,92,2106822,28.06,0.08,13,1.11,2,2.25,61,1,0.5625,54.4,3.0625,3.8,8.06,-4,1.25,56,61,-0.3,4.4,5.6,-13.25,28.735,5.8,11.125,0.2,54,0.7232,26.92598968083,0.5,4.02,31.2909375,4.87,0.0800000000000023,50.00875,51.76525,0.65882625,0.35172125,47.456325,47.456325,164,12.2281625,37418,394,2462422,1.16878502312962,1,2582256,104.87,29644,30807,103.92,81240,81240,9198296,76,4,6.974,52
"8","周期1","军区医院","0","皮肤药",0,105000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,28.06,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"9","周期1","中日医院","小木","口服抗生素",1132117,9600000,111780,0.26,3,1,975789,10964,57.375,59,48.67805,56.93116,57.36525,60.43859,125,0,15,1,4,7,1,12,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,89,1132117,12720,92,23.92,2,90.16,1372544,29.44,0.81,12,0.98,2,23.4,34,2,0.5625,42.55,2.85,3.8,5.6,-4,1.25,34,46,4.4,0.8,3.2,-0.300000000000001,58.285,5.8,11.125,0.2,45,1.4,79.703624,1,3.35,58.7750625,2.6,8,48.67805,54.78805,0.67394025,0.59530075,62.675655,62.675655,188,17.605393,1690118,18990,1591351,1.15941711158258,1,2118364,133.12,19123,24940,130.42,76261,76261,4916877,50,4.5,3.516,64
"10","周期1","中日医院","小木","一代降糖药",222204,1080000,22080,0.05,3,2,212321,3266,64.14469148125,50,45.9885714285714,42.6514285714286,58.3985186109375,60.6446476855893,114,0,15,1,4,7,1,12,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,65,222204,3419,92,4.6,2,90.16,1372544,29.44,0.16,12,0.98,2,4.5,34,2,0.5625,42.55,2.85,3.8,5.6,-4,1.25,34,46,4.4,0.8,3.2,-7,61.70469148125,5.8,11.125,0.2,39,0.966628571428571,41.2280894693877,1,2.9,61.5081482636719,2.6,5.04914285714286,45.9885714285714,50.1805142857143,0.650902571428571,0.628097779164063,63.7219696069866,63.7219696069866,178,18.616590882096,201059,3093,1591351,1.15941711158258,1,2118364,133.12,19123,24940,130.42,76261,76261,4916877,50,4.5,3.516,64
