"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","last_revenue_by_sr","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_delta","srsp_sales_skills_delta","srsp_product_knowledge_delta","srsp_time_with_account_delta","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_delta","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","target_revenue_percent","bonus_factor","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus_tmp","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期1","人民医院","小青","口服抗生素",1300000,10000000,120000,0.6,1,1,1120471,12590,50.42,61,43.7925,60.2191102776091,49.67532021,52.0078458268,111,0,15,2,5,10,14,10,100,"middle",1616040,19410,6616040,50,60,49,10,108.99,89,1300000,14607,88,52.8,1,88,1817534,88,0.6,15,1.11,2,51.6,61,5,1.125,54.4,3.4875,3.8,8.06,-4,0.583333333333333,56,61,-0.3,4.4,5.6,7,55.475,4.86666666666667,13.75,1.23333333333333,72,1.4,84.3067543886527,4,5.32,55.2890800525,4.87,8,43.7925,50.697,0.653485,0.55346896063,59.3475376378,59.3475376378,170,15.60852258268,1560852,17538,1735000,0.95459012045992,0.5,2376487,136.97,19356,27590,142.54,85554,42777,8992527,75,1,3.22725,50
"2","周期1","人民医院","小青","一代降糖药",35000,1600000,20000,0.1,1,2,343103,5279,60.22365005625,55,49.9765,54.464,55.1980851415625,59.137921301925,114,0,15,2,5,10,14,10,100,"middle",1616040,19410,6616040,50,60,49,10,108.99,65,35000,538,88,8.8,1,88,1817534,88,0.1,15,1.11,2,8.6,61,5,1.125,54.4,3.4875,3.8,8.06,-4,0.583333333333333,56,61,-0.3,4.4,5.6,0.375,61.96615005625,4.86666666666667,13.75,1.23333333333333,66,0.942857142857143,51.3517714285714,4,4.92,61.4581338275781,4.87,4.51428571428572,49.9765,54.6152857142857,0.673076428571429,0.627497605930938,64.5729134987134,64.5729134987134,179,18.871874049614,301950,4645,1735000,0.95459012045992,0.5,2376487,136.97,19356,27590,142.54,85554,42777,8992527,75,1,3.22725,50
"3","周期1","人民医院","小青","三代降糖药",400000,2470000,60000,0.3,1,3,353960,3726,64.77375,73,57.221125,63.1,59.6119567875,63.764833887,120,0,15,2,5,10,14,10,100,"middle",1616040,19410,6616040,50,60,49,10,108.99,95,400000,4211,88,26.4,1,88,1817534,88,0.3,15,1.11,2,25.8,61,5,1.125,54.4,3.4875,3.8,8.06,-4,0.583333333333333,56,61,-0.3,4.4,5.6,11.675,72.16625,4.86666666666667,13.75,1.23333333333333,85,1.33,83.923,4,6.4,70.507676696875,4.87,7.825,53.6105625,60.4013125,0.704013125,0.741599797059375,72.6565128235625,72.6565128235625,193,20.7969538470687,513685,5407,1735000,0.95459012045992,0.5,2376487,136.97,19356,27590,142.54,85554,42777,8992527,75,1,3.22725,50
"4","周期1","人民医院","0","皮肤药",0,210000,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,88,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"5","周期1","军区医院","小木","口服抗生素",500000,3150000,45000,0.3,2,1,462777,5200,55.555,48,45.61425,59.9929484,56.27825,59.04319,119,0,10,4,2,10,14,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,89,500000,5618,86,25.8,2,86,1713005,43,0.6,10,0.98,2,25.2,34,1,3.5,42.55,2.425,2.8,5.6,-2,0.583333333333333,33,48,4.4,0.6,3.6,0.54,56.845,4.86666666666667,13.75,1.23333333333333,58,1.25,74.9911855,0.5,4.34,57.5963125,2.8,7.5375,45.61425,51.493625,0.657468125,0.58115575,61.16807,61.16807,180,16.700842,526077,5911,1910000,1.11499966433256,1,2092046,109.53,22944,24901,108.53,68743,68743,4890559,50,0,5.28525,64
"6","周期1","军区医院","小木","一代降糖药",180000,1100000,7500,0.05,2,2,163688,2518,50.0861195,75,50.5924285714286,73.1869406226564,53.1977844125,57.1720928797857,124,0,10,4,2,10,14,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,65,180000,2769,86,4.3,2,86,1713005,43,0.1,10,0.98,2,4.2,34,1,3.5,42.55,2.425,2.8,5.6,-2,0.583333333333333,33,48,4.4,0.6,3.6,-7.6,47.3061195,4.86666666666667,13.75,1.23333333333333,88,0.78,57.085813685672,0.5,6.76,50.156035728125,2.8,1.25,50.2962142857143,52.0887142857143,0.660443571428571,0.46280864310625,54.1862614435179,54.1862614435179,178,15.1745045774071,166920,2568,1910000,1.11499966433256,1,2092046,109.53,22944,24901,108.53,68743,68743,4890559,50,0,5.28525,64
"7","周期1","军区医院","小木","三代降糖药",50000,306000,22500,0.15,2,3,36682,386,33.805,72,50.0175,37.2317335188467,35.64275,47.45492,117,0,10,4,2,10,14,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,95,50000,526,86,12.9,2,86,1713005,43,0.3,10,0.98,2,12.6,34,1,3.5,42.55,2.425,2.8,5.6,-2,0.583333333333333,33,48,4.4,0.6,3.6,4.45,37.05,4.86666666666667,13.75,1.23333333333333,84,0.971428571428571,36.1679697040225,0.5,6.28,37.9791875,2.8,5.15714285714285,50.00875,54.3408928571428,0.671704464285714,0.360638916666667,48.5065135714286,48.5065135714286,166,12.7532567857143,39025,411,1910000,1.11499966433256,1,2092046,109.53,22944,24901,108.53,68743,68743,4890559,50,0,5.28525,64
"8","周期1","军区医院","0","皮肤药",0,105000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,43,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"9","周期1","中日医院","小宋","口服抗生素",1000000,9600000,128000,0.5,3,1,975789,10964,57.375,59,48.67805,56.93116,57.36525,60.43859,125,0,5,1,5,10,14,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,89,1000000,11236,89,44.5,2,89,1372544,69.42,0.64,11,1.18,2,43.5,80,2.5,0.5625,71.35,2.6375,1.5,9.2,3.25,0.583333333333333,81,86,-2.4,7.35,7.3,6.71875,62.944375,4.86666666666667,13.75,1.23333333333333,70,1.4,79.703624,1.5,5.2,62.66459375,6.6,8,48.67805,56.18805,0.68094025,0.641975125,65.7561175,65.7561175,191,19.302447,1853035,20821,1425000,1.03821808262613,1,2293114,160.92,17127,26902,157.07,82552,82552,12288103,87,-1,-0.0459999999999994,43
"10","周期1","中日医院","小宋","一代降糖药",200000,1080000,20000,0.08,3,2,212321,3266,64.14469148125,50,45.9885714285714,42.6514285714286,58.3985186109375,60.6446476855893,114,0,5,1,5,10,14,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,65,200000,3077,89,7.12,2,89,1372544,69.42,0.1,11,1.18,2,6.96,80,2.5,0.5625,71.35,2.6375,1.5,9.2,3.25,0.583333333333333,81,86,-2.4,7.35,7.3,-2.08,65.31469148125,4.86666666666667,13.75,1.23333333333333,60,0.942857142857143,40.2142040816327,1.5,4.5,64.5606482636719,6.6,4.51428571428572,45.9885714285714,51.2328571428571,0.656164285714286,0.664727779164063,66.1302381784152,66.1302381784152,180,19.226047635683,207641,3194,1425000,1.03821808262613,1,2293114,160.92,17127,26902,157.07,82552,82552,12288103,87,-1,-0.0459999999999994,43
