"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","last_revenue_by_sr","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_delta","srsp_sales_skills_delta","srsp_product_knowledge_delta","srsp_time_with_account_delta","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_delta","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","target_revenue_percent","bonus_factor","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus_tmp","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期2","人民医院","小青","口服抗生素",1706000,8000000,96525,0.45,1,1,1560852,17538,55.475,72,50.697,84.3067543886527,55.2890800525,59.3475376378,170,67,5,3,8,8,14,8,100,"middle",2376487,27590,8992527,56,61,50,15,136.97,89,1706000,19169,89,40.05,1,89,2376487,89,0.45,23,1.1,2,39.15,75,8,2.25,55.12,5.0125,1.5,8.9,3.25,-0.166666666666667,62,63,0,5.3,5.8,6.2875,60.49875,3.86666666666667,12.25,1.23333333333333,84,1.39305,117.443524201113,7,6.28,60.802332513125,5.01,7.982625,50.3485,57.29070625,0.68645353125,0.6196279901575,64.63582065945,64.63582065945,235,18.78149239567,1502519,16882,2180500,0.917530792299726,0.5,2266067,103.92,24405,26428,108.29,70647,35324,11258594,84,3,6.784,54
"2","周期2","人民医院","小青","一代降糖药",41000,960000,21450,0.1,1,2,301950,4645,61.96615005625,66,54.6152857142857,51.3517714285714,61.4581338275781,64.5729134987134,179,67,5,3,8,8,14,8,100,"middle",2376487,27590,8992527,56,61,50,15,136.97,65,41000,631,89,8.9,1,89,2376487,89,0.1,23,1.1,2,8.7,75,8,2.25,55.12,5.0125,1.5,8.9,3.25,-0.166666666666667,62,63,0,5.3,5.8,0.4375,64.06490005625,3.86666666666667,12.25,1.23333333333333,77,0.959428571428572,49.2683567020408,7,5.62,64.887208499082,5.01,4.88714285714286,52.3076428571429,57.2377857142857,0.686188928571429,0.668646501988985,67.5663472621962,67.5663472621962,247,19.5132694524392,187327,2882,2180500,0.917530792299726,0.5,2266067,103.92,24405,26428,108.29,70647,35324,11258594,84,3,6.784,54
"3","周期2","人民医院","小青","三代降糖药",428000,2223000,64350,0.3,1,3,513685,5407,72.16625,85,60.4013125,83.923,70.507676696875,72.6565128235625,193,67,5,3,8,8,14,8,100,"middle",2376487,27590,8992527,56,61,50,15,136.97,95,428000,4505,89,26.7,1,89,2376487,89,0.3,23,1.1,2,26.1,75,8,2.25,55.12,5.0125,1.5,8.9,3.25,-0.166666666666667,62,63,0,5.3,5.8,11.7875,79.94,3.86666666666667,12.25,1.23333333333333,98,1.34305,112.71278515,7,7.8,79.4919191742187,5.01,7.857625,55.20065625,62.0616125,0.720616125,0.844919191742187,79.5197965045312,79.5197965045312,273,22.4039593009063,498040,5243,2180500,0.917530792299726,0.5,2266067,103.92,24405,26428,108.29,70647,35324,11258594,84,3,6.784,54
"4","周期2","人民医院","小青","皮肤药",5500,315000,32175,0.15,1,4,0,0,0,0,0,0,0,0,0,67,5,3,8,8,14,8,100,"middle",2376487,27590,8992527,56,61,50,15,136.97,55,5500,100,89,13.35,1,89,2376487,89,0.15,23,1.1,2,13.05,75,8,2.25,55.12,5.0125,1.5,8.9,3.25,-0.166666666666667,62,63,0,5.3,5.8,42.5416666666667,23.1508333333333,3.86666666666667,12.25,1.23333333333333,5,1.08233333333333,0,7,-15,14.713125,5.01,6.81458333333333,0,6.18297916666667,0.123659583333333,0.24713125,19.7742583333333,19.7742583333333,20,24.8194066666667,78181,1421,2180500,0.917530792299726,0.5,2266067,103.92,24405,26428,108.29,70647,35324,11258594,84,3,6.784,54
"5","周期2","军区医院","小木","口服抗生素",558000,3307500,44000,0.2,2,1,526077,5911,56.845,58,51.493625,74.9911855,57.5963125,61.16807,180,67,12,3,8,8,14,8,100,"junior",2092046,24901,4890559,33,48,64,10,109.53,89,558000,6270,89,17.8,2,89,2092046,44.5,0.4,18,0.96,2,17.4,50,4,2.25,45.04,4.075,3.2,7.2,-4.5,-0.166666666666667,38,50,4.8,1.6,4,-3.95,56.27,3.86666666666667,12.25,1.23333333333333,68,1.25,93.738981875,3,5.06,57.763578125,3,7.5375,50.7468125,56.6961875,0.6834809375,0.5831629375,62.32901375,62.32901375,242,17.39740825,575419,6465,2077500,0.99304699801056,0.5,2526606,121.62,24859,30091,121.05,90958,45479,7417165,66,3.25,4.3785,65
"6","周期2","军区医院","小木","一代降糖药",182000,1210000,11000,0.05,2,2,166920,2568,47.3061195,88,52.0887142857143,57.085813685672,50.156035728125,54.1862614435179,178,67,12,3,8,8,14,8,100,"junior",2092046,24901,4890559,33,48,64,10,109.53,65,182000,2800,89,4.45,2,89,2092046,44.5,0.1,18,0.96,2,4.35,50,4,2.25,45.04,4.075,3.2,7.2,-4.5,-0.166666666666667,38,50,4.8,1.6,4,-7.3,45.0561195,3.86666666666667,12.25,1.23333333333333,101,0.92,52.5189485908182,3,8,48.0810985570313,3,4,51.0443571428571,54.6943571428571,0.673471785714286,0.425459774026563,52.4664578701652,52.4664578701652,230,14.4865831480661,175288,2697,2077500,0.99304699801056,0.5,2526606,121.62,24859,30091,121.05,90958,45479,7417165,66,3.25,4.3785,65
"7","周期2","军区医院","小木","三代降糖药",46000,312120,33000,0.15,2,3,39025,411,37.05,84,54.3408928571428,36.1679697040225,37.9791875,48.5065135714286,166,67,12,3,8,8,14,8,100,"junior",2092046,24901,4890559,33,48,64,10,109.53,95,46000,484,89,13.35,2,89,2092046,44.5,0.3,18,0.96,2,13.05,50,4,2.25,45.04,4.075,3.2,7.2,-4.5,-0.166666666666667,38,50,4.8,1.6,4,4.7875,40.84375,3.86666666666667,12.25,1.23333333333333,97,1.09333333333333,39.543646876398,3,7.7,41.817609375,3,6.88333333333333,52.1704464285714,57.6946130952381,0.68847306547619,0.3657568125,49.4843313690476,49.4843313690476,215,13.2421656845238,41331,435,2077500,0.99304699801056,0.5,2526606,121.62,24859,30091,121.05,90958,45479,7417165,66,3.25,4.3785,65
"8","周期2","军区医院","小木","皮肤药",2500,157500,22000,0.1,2,4,0,0,0,0,0,0,0,0,0,67,12,3,8,8,14,8,100,"junior",2092046,24901,4890559,33,48,64,10,109.53,55,2500,45,89,8.9,2,89,2092046,44.5,0.2,18,0.96,2,8.7,50,4,2.25,45.04,4.075,3.2,7.2,-4.5,-0.166666666666667,38,50,4.8,1.6,4,36.75,19.775,3.86666666666667,12.25,1.23333333333333,5,0.965714285714286,0,3,-15,11.98125,3,5.02857142857143,0,4.31857142857143,0.0863714285714286,0.2198125,16.6436071428571,16.6436071428571,17,21.6436071428571,34089,620,2077500,0.99304699801056,0.5,2526606,121.62,24859,30091,121.05,90958,45479,7417165,66,3.25,4.3785,65
"9","周期2","中日医院","小宋","口服抗生素",1426000,11520000,187880,0.5,3,1,1853035,20821,62.944375,70,56.18805,79.703624,62.66459375,65.7561175,191,67,4,3,5,8,14,8,100,"senior",2293114,26902,12288103,81,86,43,11,160.92,89,1426000,16022,89,44.5,2,89,2215227,72.98,0.61,16,1.17,2,43.5,87,2.5,2.25,71.96,3.7,1.2,9.48,1.75,-0.166666666666667,87,88,-2.1,7.65,7.4,6.71875,68.65375,3.86666666666667,12.25,1.23333333333333,81,1.4,111.5850736,1.5,5.92,68.4154609375,6.7,8,53.094025,60.639025,0.70639025,0.7144009921875,71.11966953125,71.11966953125,262,21.4478678125,2470794,27762,1829800,0.826010156069784,0.5,3371695,184.27,21700,42101,194.01,121381,60690,15659798,94,0.125,-1.2135,43
"10","周期2","中日医院","小宋","一代降糖药",248000,972000,6160,0.02,3,2,207641,3194,65.31469148125,60,51.2328571428571,40.2142040816327,64.5606482636719,66.1302381784152,180,67,4,3,5,8,14,8,100,"senior",2293114,26902,12288103,81,86,43,11,160.92,65,248000,3815,89,1.78,2,89,2215227,72.98,0.02,16,1.17,2,1.74,87,2.5,2.25,71.96,3.7,1.2,9.48,1.75,-0.166666666666667,87,88,-2.1,7.65,7.4,-14.78,60.27469148125,3.86666666666667,12.25,1.23333333333333,70,0.7264,29.211597844898,1.5,5.2,62.4611806768555,6.7,0.160000000000002,50.6164285714286,53.0654285714286,0.665327142857143,0.639534168122266,64.9851358016217,64.9851358016217,245,18.9955407404865,184637,2841,1829800,0.826010156069784,0.5,3371695,184.27,21700,42101,194.01,121381,60690,15659798,94,0.125,-1.2135,43
