"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","last_revenue_by_sr","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_delta","srsp_sales_skills_delta","srsp_product_knowledge_delta","srsp_time_with_account_delta","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_delta","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","target_revenue_percent","bonus_factor","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus_tmp","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期1","人民医院","小宋","口服抗生素",1373654,10000000,134550,0.48,1,1,1120471,12590,50.42,61,43.7925,60.2191102776091,49.67532021,52.0078458268,111,0,3,3,6,15,10,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,89,1373654,15434,82,39.36,2,81.918,2480681,60.106,0.65,12,1.18,2,38.4,80,3,2.25,71.35,2.85,0.9,9.2,0.75,0.583333333333333,80,87,-2.4,7.3,7.35,6.1,55.6675,4.86666666666667,15,1.06666666666667,69,1.4,84.3067543886527,2,5.13,55.2954550525,6.65,8,43.7925,51.32,0.6566,0.55354546063,59.4767276378,59.4767276378,170,15.68603658268,1568604,17625,2859303,1.1526282500652,1,3091311,108.11,34046,36357,106.79,100260,100260,13086300,89,-5,5.39175,43
"2","周期1","人民医院","小宋","一代降糖药",354801,1600000,35190,0.124,1,2,343103,5279,60.22365005625,55,49.9765,54.464,55.1980851415625,59.137921301925,114,0,3,3,6,15,10,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,65,354801,5458,82,10.168,2,81.918,2480681,60.106,0.17,12,1.18,2,9.92,80,3,2.25,71.35,2.85,0.9,9.2,0.75,0.583333333333333,80,87,-2.4,7.3,7.35,1.2,63.02115005625,4.86666666666667,15,1.06666666666667,62,1.12253333333333,61.1376554666667,2,4.64,62.0933838275781,6.65,7.06583333333333,49.9765,56.8967916666667,0.684483958333333,0.635120605930938,65.4865946891896,65.4865946891896,179,19.0973189378379,305557,4701,2859303,1.1526282500652,1,3091311,108.11,34046,36357,106.79,100260,100260,13086300,89,-5,5.39175,43
"3","周期1","人民医院","小宋","三代降糖药",367804,2470000,37260,0.129,1,3,353960,3726,64.77375,73,57.221125,63.1,59.6119567875,63.764833887,120,0,3,3,6,15,10,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,95,367804,3872,82,10.578,2,81.918,2480681,60.106,0.18,12,1.18,2,10.32,80,3,2.25,71.35,2.85,0.9,9.2,0.75,0.583333333333333,80,87,-2.4,7.3,7.35,2.32,68.13125,4.86666666666667,15,1.06666666666667,81,1.1489,72.49559,2,5.92,67.285426696875,6.65,7.230625,53.6105625,60.63796875,0.7063796875,0.699710547059375,70.2378203235625,70.2378203235625,190,20.0713460970687,495762,5219,2859303,1.1526282500652,1,3091311,108.11,34046,36357,106.79,100260,100260,13086300,89,-5,5.39175,43
"4","周期1","人民医院","0","皮肤药",0,210000,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,60.106,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"5","周期1","军区医院","小宋","口服抗生素",524079,3150000,51750,0.183,2,1,462777,5200,55.555,48,45.61425,59.9929484,56.27825,59.04319,119,0,3,3,6,15,10,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,89,524079,5889,82,15.006,2,81.918,2480681,21.812,0.69,12,1.18,2,14.64,80,3,2.25,71.35,2.85,0.9,9.2,0.75,0.583333333333333,80,87,-2.4,7.3,7.35,-6.7,54.4025,4.86666666666667,15,1.06666666666667,55,1.30525,78.3057958991,2,4.1,55.7914375,6.65,7.7446875,45.61425,52.975796875,0.664878984375,0.55949725,60.164994375,60.164994375,179,16.098996625,507118,5698,2859303,1.1526282500652,1,3091311,108.11,34046,36357,106.79,100260,100260,13086300,89,-5,5.39175,43
"6","周期1","军区医院","小宋","一代降糖药",180490,1100000,18000,0.063,2,2,163688,2518,50.0861195,75,50.5924285714286,73.1869406226564,53.1977844125,57.1720928797857,124,0,3,3,6,15,10,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,65,180490,2777,82,5.166,2,81.918,2480681,21.812,0.24,12,1.18,2,5.04,80,3,2.25,71.35,2.85,0.9,9.2,0.75,0.583333333333333,80,87,-2.4,7.3,7.35,-5.92,49.3236195,4.86666666666667,15,1.06666666666667,83,0.92,67.3319853728439,2,6.16,51.624160728125,6.65,4,50.2962142857143,55.2237142857143,0.676118571428571,0.48923489310625,56.3988364435179,56.3988364435179,180,16.0595345774071,176655,2718,2859303,1.1526282500652,1,3091311,108.11,34046,36357,106.79,100260,100260,13086300,89,-5,5.39175,43
"7","周期1","军区医院","小宋","三代降糖药",58475,306000,6000,0.02,2,3,36682,386,33.805,72,50.0175,37.2317335188467,35.64275,47.45492,117,0,3,3,6,15,10,10,100,"senior",1994989,23854,9994989,75,85,42,6,90.35,95,58475,616,82,1.64,2,81.918,2480681,21.812,0.08,12,1.18,2,1.6,80,3,2.25,71.35,2.85,0.9,9.2,0.75,0.583333333333333,80,87,-2.4,7.3,7.35,-15.2,28.4025,4.86666666666667,15,1.06666666666667,80,0.72,26.8068481335697,2,5.8,31.4725625,6.65,0.00000000000000555111512312578,50.00875,52.33625,0.66168125,0.351963416666667,47.585055,47.585055,165,12.2925275,37615,396,2859303,1.1526282500652,1,3091311,108.11,34046,36357,106.79,100260,100260,13086300,89,-5,5.39175,43
"8","周期1","军区医院","0","皮肤药",0,105000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,55,0,0,0,0,10,0,0,21.812,0,0,2,4,0,0,0,0,0,0,0,0,-2,-5,0,0,-20,-20,-20,0,0,-10,-10,0,0,0.6,0,0,-20,0,-10,-3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0
"9","周期1","中日医院","小木","口服抗生素",1122460,9600000,111780,0.695,3,1,975789,10964,57.375,59,48.67805,56.93116,57.36525,60.43859,125,0,8,5,10,15,10,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,89,1122460,12612,80,55.6,2,80,1399678,68.88,0.81,18,0.98,2,54.21,34,5,4.75,42.55,4.075,2.4,5.6,1.25,0.583333333333333,33,50,4.4,0.6,4,7,61.915,4.86666666666667,15,1.06666666666667,67,1.4,79.703624,4,4.99,61.9755625,3,8,48.67805,54.92805,0.67464025,0.63370675,65.008015,65.008015,190,19.003206,1824308,20498,1615261,1.15402328249783,1,2263077,140.11,19276,26554,137.76,81471,81471,5061590,51,-3,2.9835,63
"10","周期1","中日医院","小木","一代降糖药",215293,1080000,20700,0.133,3,2,212321,3266,64.14469148125,50,45.9885714285714,42.6514285714286,58.3985186109375,60.6446476855893,114,0,8,5,10,15,10,10,100,"junior",1298513,15630,2798513,29,45,62,8,83.4,65,215293,3312,80,10.64,2,80,1399678,68.88,0.15,18,0.98,2,10.37,34,5,4.75,42.55,4.075,2.4,5.6,1.25,0.583333333333333,33,50,4.4,0.6,4,1.48125,65.92531648125,4.86666666666667,15,1.06666666666667,57,0.950857142857143,40.5554155102041,4,4.26,65.0956170136719,3,4.69428571428571,45.9885714285714,50.0898571428571,0.650449285714286,0.671243021177734,66.2925526992355,66.2925526992355,180,19.2585105398471,207992,3200,1615261,1.15402328249783,1,2263077,140.11,19276,26554,137.76,81471,81471,5061590,51,-3,2.9835,63
