"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","last_revenue_by_sr","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_delta","srsp_sales_skills_delta","srsp_product_knowledge_delta","srsp_time_with_account_delta","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_delta","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","target_revenue_percent","bonus_factor","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus_tmp","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期2","人民医院","小宋","口服抗生素",1636248,8000000,163614,0.558,1,1,1568604,17625,55.6675,69,51.32,84.3067543886527,55.2954550525,59.4767276378,170,70,3,3,6,15,10,10,100,"senior",3091311,36357,13086300,80,87,43,12,108.11,89,1636248,18385,82,45.756,2,81.9344,2850736,68.4864,0.67,18,1.17,2,44.64,89,3,2.25,72.57,4.075,0.9,9.56,0.75,0.583333333333333,86,89,-2.1,7.6,7.45,6.79,61.4,4.86666666666667,15,1.06666666666667,77,1.4,118.029456144114,2,5.62,61.097863763125,6.75,8,50.66,58.2225,0.6911125,0.6231743651575,65.03496190945,65.03496190945,235,19.01398476378,1521119,17091,2926876,1.02670889201946,1,2706804,92.48,34681,31354,90.41,75098,75098,15793104,94,-5,4.496,44
"2","周期2","人民医院","小宋","一代降糖药",393564,960000,41514,0.138,1,2,305557,4701,63.02115005625,62,56.8967916666667,61.1376554666667,62.0933838275781,65.4865946891896,179,70,3,3,6,15,10,10,100,"senior",3091311,36357,13086300,80,87,43,12,108.11,65,393564,6055,82,11.316,2,81.9344,2850736,68.4864,0.17,18,1.17,2,11.04,89,3,2.25,72.57,4.075,0.9,9.56,0.75,0.583333333333333,86,89,-2.1,7.6,7.45,1.9,66.30865005625,4.86666666666667,15,1.06666666666667,70,1.21271,74.1422461609813,2,5.2,66.394833499082,6.75,7.431775,53.4483958333333,60.6415495833333,0.706415495833333,0.688132835488067,69.5445899626173,69.5445899626173,249,19.9089179925235,191126,2940,2926876,1.02670889201946,1,2706804,92.48,34681,31354,90.41,75098,75098,15793104,94,-5,4.496,44
"3","周期2","人民医院","小宋","三代降糖药",416278,2223000,41514,0.138,1,3,495762,5219,68.13125,81,60.63796875,72.49559,67.285426696875,70.2378203235625,190,70,3,3,6,15,10,10,100,"senior",3091311,36357,13086300,80,87,43,12,108.11,95,416278,4382,82,11.316,2,81.9344,2850736,68.4864,0.17,18,1.17,2,11.04,89,3,2.25,72.57,4.075,0.9,9.56,0.75,0.583333333333333,86,89,-2.1,7.6,7.45,3.04,71.98875,4.86666666666667,15,1.06666666666667,89,1.21271,87.9161269489,2,6.88,72.2889191742187,6.75,7.431775,55.318984375,62.512138125,0.72512138125,0.764755949264844,74.8902122058906,74.8902122058906,265,21.4670636617672,477213,5023,2926876,1.02670889201946,1,2706804,92.48,34681,31354,90.41,75098,75098,15793104,94,-5,4.496,44
"4","周期2","人民医院","小宋","皮肤药",1757,315000,0,0.0012,1,4,0,0,0,0,0,0,0,0,0,70,3,3,6,15,10,10,100,"senior",3091311,36357,13086300,80,87,43,12,108.11,55,1757,32,82,0.0984,2,81.9344,2850736,68.4864,0,18,1.17,2,0.1,89,3,2.25,72.57,4.075,0.9,9.56,0.75,0.583333333333333,86,89,-2.1,7.6,7.45,0.5,2.5875,4.86666666666667,15,1.06666666666667,6,0.6,0,2,-14,0,6.75,-3,0,0.4125,0.00825,0,0.33,0.33,0,0.495,1559,28,2926876,1.02670889201946,1,2706804,92.48,34681,31354,90.41,75098,75098,15793104,94,-5,4.496,44
"5","周期2","军区医院","小白","口服抗生素",536223,3307500,53900,0.256,2,1,507118,5698,54.4025,55,52.975796875,78.3057958991,55.7914375,60.164994375,179,70,9,6,10,15,10,10,100,"junior",1927844,22941,4640849,37,30,88,18,113.89,89,536223,6025,79,20.224,2,78.9842,2168419,28.8192,0.7,28,0.63,1,19.97,48,5,6,29.6,5.9,2.6,7,-0.75,0.583333333333333,42,36,8.8,2.3,1.2,-2.0225,55.46125,4.86666666666667,15,1.06666666666667,62,1.3117,102.713712480849,4,4.64,56.671796875,1.6,7.768875,51.4878984375,57.0976671875,0.6854883359375,0.5700615625,61.6232271875,61.6232271875,241,16.9739363125,561413,6308,2089860,0.963771300657299,0.5,2652110,126.9,25004,31476,125.88,95476,47738,7292959,65,-3,3.9825,89
"6","周期2","军区医院","小白","一代降糖药",180417,1210000,11550,0.054,2,2,176655,2718,49.3236195,83,55.2237142857143,67.3319853728439,51.624160728125,56.3988364435179,180,70,9,6,10,15,10,10,100,"junior",1927844,22941,4640849,37,30,88,18,113.89,65,180417,2776,79,4.266,2,78.9842,2168419,28.8192,0.15,28,0.63,1,4.21,48,5,6,29.6,5.9,2.6,7,-0.75,0.583333333333333,42,36,8.8,2.3,1.2,-7.58,47.6036195,4.86666666666667,15,1.06666666666667,91,0.8426,56.7339308751583,4,7.1,50.2287548070313,1.6,2.065,52.6118571428571,54.5141071428571,0.672570535714286,0.464117586526563,54.7498766201652,54.7498766201652,235,15.3999506480661,186339,2867,2089860,0.963771300657299,0.5,2652110,126.9,25004,31476,125.88,95476,47738,7292959,65,-3,3.9825,89
"7","周期2","军区医院","小白","三代降糖药",45091,312120,11550,0.054,2,3,37615,396,28.4025,80,52.33625,26.8068481335697,31.4725625,47.585055,165,70,9,6,10,15,10,10,100,"junior",1927844,22941,4640849,37,30,88,18,113.89,95,45091,475,79,4.266,2,78.9842,2168419,28.8192,0.15,28,0.63,1,4.21,48,5,6,29.6,5.9,2.6,7,-0.75,0.583333333333333,42,36,8.8,2.3,1.2,-7.58,26.6825,4.86666666666667,15,1.06666666666667,88,0.8426,22.5874502373458,4,6.76,29.432015625,1.6,2.065,51.168125,53.070375,0.665351875,0.3462134375,47.38688125,47.38688125,212,12.193440625,38058,401,2089860,0.963771300657299,0.5,2652110,126.9,25004,31476,125.88,95476,47738,7292959,65,-3,3.9825,89
"8","周期2","军区医院","小白","皮肤药",879,157500,0,0.0008,2,4,0,0,0,0,0,0,0,0,0,70,9,6,10,15,10,10,100,"junior",1927844,22941,4640849,37,30,88,18,113.89,55,879,16,79,0.0632,2,78.9842,2168419,28.8192,0,28,0.63,1,0.06,48,5,6,29.6,5.9,2.6,7,-0.75,0.583333333333333,42,36,8.8,2.3,1.2,0.3,2.22,4.86666666666667,15,1.06666666666667,6,0.6,0,4,-14,0,1.6,-3,0,0,0,0,0,0,0,0,0,0,2089860,0.963771300657299,0.5,2652110,126.9,25004,31476,125.88,95476,47738,7292959,65,-3,3.9825,89
"9","周期2","中日医院","小木","口服抗生素",1232952,11520000,129360,0.718,3,1,1824308,20498,61.915,67,54.92805,79.703624,61.9755625,65.008015,190,70,8,5,10,15,10,10,100,"junior",2263077,26554,5061590,33,50,63,18,140.11,89,1232952,13853,80,57.44,2,80,2263077,71.52,0.8,28,0.97,2,56,51,5,4.75,46.7,5.9,2.4,7.28,1.25,0.583333333333333,39,55,4.6,1.8,4.75,7,66.8825,4.86666666666667,15,1.06666666666667,75,1.4,111.5850736,4,5.5,66.955765625,3.9,8,52.464025,59.029025,0.695145125,0.695424953125,69.5313021875,69.5313021875,260,20.812520875,2397602,26939,1703566,0.752765372101789,0.5,2868491,168.38,20464,33330,162.87,103266,51633,7930081,69,-3,-0.419,62
"10","周期2","中日医院","小木","一代降糖药",238939,972000,14553,0.082,3,2,207992,3200,65.92531648125,57,50.0898571428571,40.5554155102041,65.0956170136719,66.2925526992355,180,70,8,5,10,15,10,10,100,"junior",2263077,26554,5061590,33,50,63,18,140.11,65,238939,3676,80,6.56,2,80,2263077,71.52,0.09,28,0.97,2,6.4,51,5,4.75,46.7,5.9,2.4,7.28,1.25,0.583333333333333,39,55,4.6,1.8,4.75,-3.2,65.79281648125,4.86666666666667,15,1.06666666666667,64,0.878636,35.6334480622237,4,4.78,66.7745166143555,3.9,2.9659,50.0449285714286,53.3377635714286,0.666688817857143,0.693068715986621,68.251675673483,68.251675673483,248,19.6503351346966,191001,2938,1703566,0.752765372101789,0.5,2868491,168.38,20464,33330,162.87,103266,51633,7930081,69,-3,-0.419,62
