"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_real_revenue","pp_real_volume","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_volume_by_sr","pp_real_revenue_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_factor","srsp_sales_skills_factor","srsp_product_knowledge_factor","srsp_time_with_account_factor","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_factor","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期0","人民医院","小宋","口服抗生素",1500000,8500000,80520,0.5,1,1,47,50,33,1065900,11976,39.1033183620838,39.4411644,28.05,28.05,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,89,1500000,16854,85,42.5,2,85,69.7,0.61,6,1.1,2,41.5,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,1.28875,56.9224833333333,4.86666666666667,13.75,1,56,1.36104,53.2211804235305,4,0.964,52.46817721632,1.86666666666667,28.052,33,51.8871333333333,1.01887133333333,0.7120226582448,23.41507769826,24.342062158608,52,14.171031079304,1204538,13534,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"2","周期0","人民医院","小宋","一代降糖药",200000,1700000,23760,0.15,1,2,51.7078636875,19,39,146300,2251,34.2794784622369,33.128536725,11.55,11.55,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,65,200000,3077,85,12.75,2,85,69.7,0.18,6,1.1,2,12.45,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,1.007875,53.9101877817234,4.86666666666667,13.75,1,25,0.985828571428571,33.7936892817435,4,0.73,47.1258340343926,1.86666666666667,9.29142857142858,39,45.6927619047619,0.885391428571429,0.631887510515889,8.46948884787511,9.08559107830009,21,9.08559107830009,154455,2376,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"3","周期0","人民医院","小宋","三代降糖药",270000,1615000,27720,0.17,1,3,58.3935075,56,48,198550,2090,73.8516875325808,35.8387065,16.5,16.5,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,95,270000,2842,85,14.45,2,85,69.7,0.21,6,1.1,2,14.11,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,1.036925,61.8983831426625,4.86666666666667,13.75,1,62,1.03108571428571,76.1474199907365,4,1.018,55.7124833253969,1.86666666666667,11.5542857142857,48,56.1636190476191,1.06163619047619,0.760687249880953,14.5376026309643,14.9300821047714,31,13.9440656838171,225197,2370,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"4","周期0","人民医院","小宋","皮肤药",0,170000,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,5,6,10,15,10,100,"senior",2910,230000,8000000,70,80,50,0,90,55,0,0,85,0,2,85,69.7,0,6,1.1,2,0,97.33,3,4.75,68.3,1.5,1.2,9.8932,1.75,0.583333333333333,76,85,0.96,1.206,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,4,0.63,0.2,1.86666666666667,-3,0,0,0,0.00299999999999999,0,0,0,0,0,0,2208000,1774827,80.38,25690,20631,80.31,0,9774827,99.7,-1,1.81175,51
"5","周期0","军区医院","小白","口服抗生素",470000,2550000,23520,0.25,2,1,50,35,37,319770,3593,46.298,50,28.05,28.05,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,89,470000,5281,85,21.25,2,85,38.25,0.56,8,0.63,1,21,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,1.04,51.3633333333333,4.86666666666667,13.75,1,41,0.983085714285714,45.5149024,5.5,0.838,49.6775,1.86666666666667,9.15428571428572,37,43.6036190476191,0.872072380952381,0.6701625,21.0634869892857,22.4607895914286,51,13.2303947957143,337375,3791,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"6","周期0","军区医院","小白","一代降糖药",205000,850000,13860,0.15,2,2,43.073745,57,46,154660,2379,68.0103791894906,52.3025265,26.4,26.4,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,65,205000,3154,85,12.75,2,85,38.25,0.33,8,0.63,1,12.6,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,1.0105,43.4858171605,4.86666666666667,13.75,1,63,0.87032,59.1907932161975,5.5,1.027,46.247428138475,1.86666666666667,4.13700000000001,46,49.3423833333333,0.94013575,0.618711422077125,19.7282224457017,21.0625779565613,47,18.6375467739368,158419,2437,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"7","周期0","军区医院","小白","三代降糖药",83000,255000,4620,0.05,2,3,33,55,49,51414,541,42.9530843549224,33,29.7,29.7,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,95,83000,874,85,4.25,2,85,38.25,0.11,8,0.63,1,4.2,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,0.786,28.8706,4.86666666666667,13.75,1,61,0.6648,28.5552104791524,5.5,1.009,30.23735,1.86666666666667,-1.38,49,48.7563333333333,0.975126666666667,0.4523735,19.64580057,21.656640456,51,18.9939842736,48435,510,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"8","周期0","军区医院","小白","皮肤药",0,85000,0,0,2,4,0,0,0,0,0,0,0,0,0,0,6,5,8,10,15,10,100,"junior",794,61300,1000000,40,19,88,0,80,55,0,0,85,0,2,85,38.25,0,8,0.63,1,0,31.2,4,4.75,19.31,2,1.8,5.32,4,0.583333333333333,44,24,1.124,0.91,1.05333333333333,0,0,4.86666666666667,13.75,1,6,0.6,0,5.5,0.63,0.275,1.86666666666667,-3,0,0,0,0.00412500000000001,0,0,0,0,0,0,1968000,1485645,75.49,23587,17828,75.58,0,2485645,56.77,0,0.566124999999999,89
"9","周期0","中日医院","小青","口服抗生素",895000,5100000,59640,0.48,3,1,53,51,38,714780,8031,37,56.0316861,31.35,31.35,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,89,895000,10056,85,40.8,2,85,57.8,0.71,10,1.05,2,39.84,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,1.268,61.6107333333333,4.86666666666667,13.75,1,57,1.32892,49.17004,7,0.973,60.26340042006,1.86666666666667,26.446,38,55.8432333333333,1.05843233333333,0.8289510063009,28.8653098885199,29.3622479108159,61,16.681123955408,850737,9559,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
"10","周期0","中日医院","小青","一代降糖药",148000,1020000,18480,0.15,3,2,56.0338104375,29,30,100320,1543,33,34,13.2,13.2,0,5,5,10,10,15,10,100,"middle",1686,130000,5000000,45,60,55,0,90,65,148000,2277,85,12.75,2,85,57.8,0.22,10,1.05,2,12.45,85.91,5,4.75,54.4,2.425,1.5,9.4364,3.25,0.583333333333333,51,65,0.98,1.01,1.05333333333333,1.007875,56.3919598758797,4.86666666666667,13.75,1,35,0.925485714285714,30.5410285714286,7,0.795,49.7499699069098,1.86666666666667,6.27428571428572,30,34.7316190476191,0.694632380952381,0.671249548603646,8.98395539636945,9.82716431709556,23,9.82716431709556,100237,1542,1482800,1253388,84.53,17660,14785,83.72,0,6253388,92.74,-0.5,2.486125,57
