"","phase","hospital","sales_rep","product","sales_target","potential_revenue","promotional_budget","sr_time_proportion","hosp_code","prod_code","pp_real_revenue","pp_real_volume","pp_sr_sales_performance","pp_deployment_quality_index","pp_customer_relationship_index","pp_promotional_support_index","pp_sales_performance","pp_offer_attractiveness","pp_acc_offer_attractiveness","pp_acc_success_value","sales_training","product_training","field_work","meetings_with_team","kpi_analysis","admin_work","work_time","sales_level","pp_real_revenue_by_sr","pp_real_volume_by_sr","pp_sr_acc_revenue","pp_sales_skills_index","pp_product_knowledge_index","pp_motivation_index","pp_sr_acc_field_work","pp_target_revenue_realization_by_sr","product_price","target_revenue","target_volume","other_time","sr_time","no.hospitals","sr_time_total","sr_time_by_hosp","product_time_proportion","sr_acc_field_work","overhead_factor","overhead_time","real_sr_time","pp_experience_index","field_work_peraccount","product_knowledge_addition_current_period","product_knowledge_transfer_value","ss_accumulated_field_work_delta","ss_accumulated_sales_training_delta","ss_experience_index_pp","m_sales_training_delta","m_admin_work_delta","sales_skills_index","product_knowledge_index","srsp_motivation_factor","srsp_sales_skills_factor","srsp_product_knowledge_factor","srsp_time_with_account_factor","sr_sales_performance","dq_admin_work_delta","dq_meetings_with_team_delta","dq_kpi_analysis_factor","deployment_quality_index","ps_promotional_budget_factor","promotional_support_index","sp_field_work_delta","sp_deployment_quality_factor","sales_performance","cr_product_knowledge_delta","cr_promotional_support_delta","cr_pp_customer_relationship_index","customer_relationship_index","oa_customer_relationship_factor","oa_sales_performance_factor","cp_offer_attractiveness","offer_attractiveness","acc_offer_attractiveness","market_share","real_revenue","real_volume","target_revenue_by_sr","real_revenue_by_sr","target_revenue_realization_by_sr","target_volume_by_sr","real_volume_by_sr","target_volume_realization_by_sr","bonus","sr_acc_revenue","experience_index","m_meeting_with_team_delta","m_sales_target_realization_delta","motivation_index"
"1","周期1","人民医院","小宋","口服抗生素",1000000,10000000,95220,0.55,1,1,1204538,13534,56.9224833333333,56,51.8871333333333,53.2211804235305,52.46817721632,24.342062158608,52,0,5,5,5,10,15,15,100,"senior",1774827,20631,9774827,76,85,51,6,80.38,89,1000000,11236,85,46.75,2,85,68,0.69,11,1.09,2,45.65,99.7,2.5,4.75,71.35,2.6375,1.5,9.988,3.25,2,82,90,0.964,1.238,1.05333333333333,1.2911875,69.4214747882639,7,13.75,1,62,1.39044,74.0008581080938,3.25,1.018,65.5345358332567,1.86666666666667,29.522,50.9435666666667,70.7862,1.207862,0.907483501665593,25.0147526364813,24.8802145409066,77,14.4401072704533,1444011,16225,1502000,2022495,134.65,17482,23375,133.71,0,11797322,100,-1,7.59875,55
"2","周期1","人民医院","小宋","一代降糖药",130000,2000000,16560,0.1,1,2,154455,2376,53.9101877817234,25,45.6927619047619,33.7936892817435,47.1258340343926,9.08559107830009,21,0,5,5,5,10,15,15,100,"senior",1774827,20631,9774827,76,85,51,6,80.38,65,130000,2000,85,8.5,2,85,68,0.12,11,1.09,2,8.3,99.7,2.5,4.75,71.35,2.6375,1.5,9.988,3.25,2,82,90,0.964,1.238,1.05333333333333,0.9075,53.3369427849778,7,13.75,1,31,0.903542857142857,30.5340465670245,3.25,0.767,49.7506017313288,1.86666666666667,5.38285714285715,45.6927619047619,49.8449523809524,0.947674285714286,0.671259025969932,7.10334342471654,7.49979295543325,28,7.49979295543325,149996,2308,1502000,2022495,134.65,17482,23375,133.71,0,11797322,100,-1,7.59875,55
"3","周期1","人民医院","小宋","三代降糖药",198000,1900000,26220,0.15,1,3,225197,2370,61.8983831426625,62,56.1636190476191,76.1474199907365,55.7124833253969,14.9300821047714,31,0,5,5,5,10,15,15,100,"senior",1774827,20631,9774827,76,85,51,6,80.38,95,198000,2084,85,12.75,2,85,68,0.19,11,1.09,2,12.45,99.7,2.5,4.75,71.35,2.6375,1.5,9.988,3.25,2,82,90,0.964,1.238,1.05333333333333,1.007875,64.968027126679,7,13.75,1,68,1.01394285714286,77.2091325894644,3.25,1.072,63.6189009362442,1.86666666666667,10.6971428571429,53.0818095238095,60.6882857142857,1.10688285714286,0.879283514043663,14.487005809829,14.5756210688175,46,13.660496855054,259549,2732,1502000,2022495,134.65,17482,23375,133.71,0,11797322,100,-1,7.59875,55
"4","周期1","人民医院","小宋","皮肤药",0,200000,0,0,1,4,0,0,0,6,0,0,0.2,0,0,0,5,5,5,10,15,15,100,"senior",1774827,20631,9774827,76,85,51,6,80.38,55,0,0,85,0,2,85,68,0,11,1.09,2,0,99.7,2.5,4.75,71.35,2.6375,1.5,9.988,3.25,2,82,90,0.964,1.238,1.05333333333333,0,0,7,13.75,1,12,0.6,0,3.25,0.66,0.1989,1.86666666666667,-3,0,0,0,0.00298349999999999,0,0,0,0,0,0,1502000,2022495,134.65,17482,23375,133.71,0,11797322,100,-1,7.59875,55
"5","周期1","军区医院","小兰","口服抗生素",300000,3000000,23520,0.25,2,1,337375,3791,51.3633333333333,41,43.6036190476191,45.5149024,49.6775,22.4607895914286,51,0,8,5,5,10,15,15,100,"middle",2043504,23610,7643504,72,55,89,8,75.97,89,300000,3371,85,21.25,2,85,38.25,0.56,13,0.615,1,21,98.81,2.5,4.75,50.55,3.0625,2.4,9.9524,1.25,2,78,60,1.127,1.218,1.05333333333333,1.04,55.9509350555556,7,13.75,1,47,0.983085714285714,44.7450503365486,3.25,0.886,53.4124292916667,1.86666666666667,9.15428571428572,43.6036190476191,50.2072380952381,1.00207238095238,0.726186439375,18.7893672529517,19.523651720647,71,11.7141910323882,351426,3949,1116000,1218990,109.23,13631,14794,108.53,39945,8862494,98.48,-0.5,5.69225,92
"6","周期1","军区医院","小兰","一代降糖药",155000,1000000,13860,0.15,2,2,158419,2437,43.4858171605,63,49.3423833333333,59.1907932161975,46.247428138475,21.0625779565613,47,0,8,5,5,10,15,15,100,"middle",2043504,23610,7643504,72,55,89,8,75.97,65,155000,2385,85,12.75,2,85,38.25,0.33,13,0.615,1,12.6,98.81,2.5,4.75,50.55,3.0625,2.4,9.9524,1.25,2,78,60,1.127,1.218,1.05333333333333,1.0105,46.6001264328111,7,13.75,1,69,0.87032,51.514931151921,3.25,1.081,47.4236601950704,1.86666666666667,4.13700000000001,49.3423833333333,52.6847666666667,0.9902715,0.636354902926056,16.3850331173164,17.3205420851654,64,15.8564336681323,158564,2439,1116000,1218990,109.23,13631,14794,108.53,39945,8862494,98.48,-0.5,5.69225,92
"7","周期1","军区医院","小兰","三代降糖药",45000,300000,4620,0.05,2,3,48435,510,28.8706,61,48.7563333333333,28.5552104791524,30.23735,21.656640456,51,0,8,5,5,10,15,15,100,"middle",2043504,23610,7643504,72,55,89,8,75.97,95,45000,474,85,4.25,2,85,38.25,0.11,13,0.615,1,4.2,98.81,2.5,4.75,50.55,3.0625,2.4,9.9524,1.25,2,78,60,1.127,1.218,1.05333333333333,0.786,27.0493463166667,7,13.75,1,67,0.6648,18.9835039265405,3.25,1.063,28.3898378475,1.86666666666667,-1.38,48.7563333333333,48.5126666666667,0.970253333333333,0.433898378475,14.0430397427389,15.5657598853911,67,14.4526079083129,43358,456,1116000,1218990,109.23,13631,14794,108.53,39945,8862494,98.48,-0.5,5.69225,92
"8","周期1","军区医院","小兰","皮肤药",0,100000,0,0,2,4,0,0,0,6,0,0,0.275,0,0,0,8,5,5,10,15,15,100,"middle",2043504,23610,7643504,72,55,89,8,75.97,55,0,0,85,0,2,85,38.25,0,13,0.615,1,0,98.81,2.5,4.75,50.55,3.0625,2.4,9.9524,1.25,2,78,60,1.127,1.218,1.05333333333333,0,0,7,13.75,1,12,0.6,0,3.25,0.66,0.21255,1.86666666666667,-3,0,0,0,0.00318825,0,0,0,0,0,0,1116000,1218990,109.23,13631,14794,108.53,39945,8862494,98.48,-0.5,5.69225,92
"9","周期1","中日医院","小白","口服抗生素",770000,6000000,56280,0.3,3,1,850737,9559,61.6107333333333,57,55.8432333333333,49.17004,60.26340042006,29.3622479108159,61,0,9,5,5,10,15,15,100,"junior",1485645,17828,2485645,44,24,89,8,75.49,89,770000,8652,85,25.5,2,85,38.25,0.67,13,0.615,1,25.2,56.77,2.5,4.75,24.02,3.0625,2.6,7.7416,-0.75,2,49,29,1.127,0.985,1.05333333333333,1.088,66.0169276122222,7,13.75,1,63,1.31884,64.8474155536,3.25,1.027,65.06646817645,1.86666666666667,25.942,52.9216166666667,70.43725,1.2043725,0.9009305544703,30.0172413432592,29.8862426567705,91,16.9431213283853,1016587,11422,2788000,1402042,50.29,32036,16402,51.2,0,3887687,76.65,0,-6.17025,87
"10","周期1","中日医院","小白","一代降糖药",100000,1200000,18480,0.1,3,2,100237,1542,56.3919598758797,35,34.7316190476191,30.5410285714286,49.7499699069098,9.82716431709556,23,0,9,5,5,10,15,15,100,"junior",1485645,17828,2485645,44,24,89,8,75.49,65,100000,1538,85,8.5,2,85,38.25,0.22,13,0.615,1,8.4,56.77,2.5,4.75,24.02,3.0625,2.6,7.7416,-0.75,2,49,29,1.127,0.985,1.05333333333333,0.91,54.4022635582591,7,13.75,1,41,0.925485714285714,28.265285642449,3.25,0.838,51.7897911204379,1.86666666666667,6.27428571428572,34.7316190476191,39.4632380952381,0.789264761904762,0.701846866806568,7.24079249330066,7.75806685805964,31,7.75806685805964,93097,1432,2788000,1402042,50.29,32036,16402,51.2,0,3887687,76.65,0,-6.17025,87
